innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
2589036544,12,1,1,15840256,3368960,30985216,31744,55311360,11070464,42.09
2584841216,16,0,1,12162048,7317504,12277760,15360,104159232,28860416,41.97
1363418112,34,1,1,7052288,3792896,21648384,5120,72294400,32258048,41.92
1853486080,43,1,1,8000512,8492032,56699904,19456,28782592,65868800,41.88
2086979584,17,0,1,12411904,4345856,24710144,27648,76028928,57893888,41.88
1503594496,18,1,1,6285312,14050304,18132992,21504,39752704,39535616,41.87
2762411008,39,0,1,1178624,8619008,39641088,19456,62879744,62515200,41.84
2235551744,40,1,1,5688320,15607808,242688,24576,98790400,7778304,41.82
1958519808,25,0,1,831488,13580288,39315456,24576,38236160,56580096,41.8
1715419136,25,0,1,7109632,755712,17267712,8192,97763328,32709632,41.8
1915627520,17,0,1,5433344,1193984,21093376,26624,88834048,44935168,41.79
1665599488,41,0,1,12111872,16340992,45133824,19456,90366976,44497920,41.78
1191236608,13,0,1,2096128,9015296,49700864,46080,103693312,34248704,41.76
2517537792,17,0,1,12180480,14043136,17643520,47104,20544512,17128448,41.68
1202466816,0,0,1,1071104,7390208,30561280,7168,2497536,6567936,41.66
1382028288,41,0,1,14437376,15628288,31524864,11264,107144192,3961856,41.66
2901257216,20,1,2,12880896,14972928,34738176,40960,24887296,36571136,41.65
1567124480,33,0,1,9607168,2421760,64678912,10240,43034624,25243648,41.61
1549651968,37,0,1,16545792,4985856,52653056,45056,103642112,4089856,41.57
2438294528,18,1,1,2430976,10567680,7384064,40960,72092672,4184064,41.47
1448984576,22,0,1,10302464,13275136,62271488,28672,56294400,56170496,41.47
2331817984,22,1,1,5379072,14687232,26019840,18432,83343360,51803136,41.46
2003942400,42,0,1,2651136,4487168,13020160,45056,119883776,18929664,41.46
1464978432,10,1,2,10273792,9888768,50844672,15360,101628928,34239488,41.41
1666779136,10,0,1,7618560,3755008,42335232,24576,112480256,53532672,41.37
2238769152,27,1,1,620544,9078784,61583360,23552,118802432,19262464,41.37
2634816512,37,0,1,989184,2411520,64515072,49152,89990144,41026560,41.31
768354304,7,1,2,8436736,14142464,9062400,44032,99920896,55117824,41.26
422108160,6,1,0,3216384,982016,18776064,48128,114781184,39656448,41.22
2470234112,25,0,1,1832960,4323328,9487360,25600,116022272,32231424,41.21
3152335872,46,0,1,13980672,14915584,40353792,47104,123242496,34260992,41.18
2528486400,31,0,1,2717696,15090688,4557824,26624,53274624,12450816,41.17
2352667648,21,0,0,14761984,4041728,632832,24576,69069824,998400,41.17
2217609216,38,0,1,2511872,7445504,13519872,30720,59981824,1392640,41.02
1109916672,23,0,1,12932096,16028672,18589696,5120,16438272,25623552,40.92
2094303232,46,1,0,7363584,15436800,1874944,6144,9015296,63230976,40.74
180837376,11,0,2,15022080,7263232,63098880,1024,56539136,45589504,40.65
3008832512,39,1,0,4003840,813056,16920576,26624,122655744,41411584,40.34
300996608,16,1,0,7617536,5952512,10178560,12288,103801856,66385920,40.2
3177810944,31,0,2,5702656,2064384,41355264,8192,116036608,33098752,40.11
681405440,40,0,2,181248,10736640,31424512,29696,25894912,22140928,40
2010625024,43,0,0,14394368,4682752,3479552,43008,45787136,12055552,39.96
2097180672,48,0,0,311296,7813120,35620864,12288,94059520,28690432,39.75
677739520,29,1,0,10545152,8268800,7352320,48128,66743296,37018624,39.67
981707776,15,0,2,16761856,10126336,24468480,44032,111714304,21671936,39.66
1612561408,28,1,2,14826496,5881856,62664704,14336,53129216,41509888,39.57
